               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.9414,              5.9825,              2.2862,             0.40815,             0.30583,             0.24811,             0.12005,                   0,                   0,                   0,            0.070073,           0.0033252,           0.0033252
                   1,               2.513,              3.7849,              1.8371,             0.61665,            0.038835,             0.28683,             0.12962,                   0,                   0,                   0,             0.03954,           0.0061259,           0.0061259
                   2,              2.4559,              3.6936,              1.8462,             0.46545,             0.24757,             0.24217,             0.10887,                   0,                   0,                   0,           0.0084741,           0.0083932,           0.0083932
                   3,               2.476,              3.5945,              1.9783,             0.38074,              0.3301,             0.30371,             0.14562,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   4,              2.4737,               3.176,              2.0273,             0.43956,              0.2767,             0.30706,              0.1598,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   5,              2.4783,              2.8822,              2.0833,             0.56015,             0.40291,             0.40813,             0.20409,                   0,                   0,                   0,              0.0068,              0.0068,              0.0068
                   6,              2.4269,              2.6518,              1.9902,             0.42551,             0.41262,             0.37771,             0.19844,                   0,                   0,                   0,               0.006,               0.006,               0.006
                   7,              2.3884,              2.3948,              1.9487,             0.51582,             0.36893,             0.38972,             0.18789,                   0,                   0,                   0,              0.0052,              0.0052,              0.0052
                   8,                2.31,              2.4457,              1.8918,             0.56455,             0.47573,             0.47928,             0.24453,                   0,                   0,                   0,              0.0044,              0.0044,              0.0044
                   9,              2.2903,              2.3233,              1.8965,              0.5917,             0.45631,             0.49686,             0.26606,                   0,                   0,                   0,              0.0036,              0.0036,              0.0036
